"Halogens","S","P","Other Metal","Hydroxyl or Ether","Ketones, aldehydes, carboxylic acids, or esters","Primary Amine or Ammonium Ion","Secondary Amine or Aromatic Nitrogen","Tertiary Amine or Amide Nitrogen","Aromatic","Aliphatic","mouse intraperitoneal LD50","group","S_Hydroxyl_or_Ether","S_Ketones_aldehydes_acids_esters","Primary_Amine_Ketones_aldehydes_acids_esters","Secondary_Amine_Ketones_aldehydes_acids_esters","Tertiary_Amine_Ketones_aldehydes_acids_esters","Primary_Amine_Hydroxyl_or_Ether","Secondary_Amine_Hydroxyl_or_Ether","Tertiary_Amine_Hydroxyl_or_Ether","Aromatic_Hydroxyl_or_Ether","Aromatic_Other_Metal","Hydroxyl_or_Ether_Ketones_aldehydes_acids_esters","Aliphatic_Tertiary_Amine_or_Amide_Nitrogen"
0,0,0,0,1,-1,0,0,0,1,0,3.041834651,3,0,0,0,0,0,0,0,0,1,0,-1,0
0,1,1,0,0,0,-1,-1,1,0,1,4.235583534,5,0,0,0,0,0,0,0,0,0,0,0,1
-1,0,0,0,0,0,0,0,0,0,1,3.366732177,4,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,0,2.641603841,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,-1,0,0,0,1,0,3.311626674,4,0,0,0,0,0,0,0,0,1,0,-1,0
0,0,0,0,1,1,0,0,0,1,0,2.327917267,2,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,1,1,0,0,0,0,1,1.48261524,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,1,0,0,0,1,0,2.074677503,2,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,1,1,0,0,0,1,0,3.000416186,3,0,0,0,0,0,0,0,0,1,0,1,0
0,0,0,0,0,0,0,0,0,0,1,2.864785315,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,1,-1,1,-1,1,0,2.227714728,2,0,0,-1,1,-1,1,-1,1,-1,0,-1,0
